Date,Asset,Calibration Date,Damage,Usage
3/19/2017,839-64-8787,4/11/2018,,4/5/2017
5/24/2017,116-81-2552,1/21/2018,,8/25/2016
3/30/2017,845-76-3690,8/19/2018,,2/17/2017
12/13/2016,578-19-6196,12/14/2017,,12/28/2016
8/7/2017,274-73-7072,9/24/2017,,4/29/2017
10/29/2016,285-68-2015,6/27/2018,,8/28/2016
11/7/2016,194-44-4938,8/12/2017,,3/15/2017
10/8/2016,293-13-9091,6/12/2018,,5/27/2017
11/18/2016,197-09-5026,8/5/2017,,10/1/2016
4/17/2017,706-35-9888,12/18/2017,,5/16/2017
3/17/2017,198-45-8722,9/10/2017,,6/4/2017
5/21/2017,512-33-2952,7/2/2017,,8/11/2017
3/5/2017,400-63-1440,7/24/2018,,5/28/2017
4/3/2017,213-55-9368,10/16/2017,,11/2/2016
12/27/2016,899-96-8107,12/26/2017,,3/1/2017
8/14/2017,415-62-8268,10/6/2017,,5/16/2017
8/30/2016,874-19-6042,9/6/2017,,2/4/2017
9/18/2016,221-93-1088,11/7/2017,,3/3/2017
12/3/2016,531-51-7524,6/15/2018,,2/16/2017
4/26/2017,817-49-7981,12/10/2017,,7/20/2017
2/18/2017,293-81-1879,6/17/2018,,6/20/2017
3/1/2017,384-84-0206,1/5/2018,,7/2/2017
8/2/2017,487-45-9804,5/16/2018,,9/15/2016
1/3/2017,419-10-1165,3/1/2018,,9/15/2016
6/4/2017,740-26-7890,8/6/2017,,1/23/2017
4/7/2017,602-02-5874,9/3/2017,,7/13/2017
3/4/2017,421-07-5709,10/28/2017,,7/24/2017
4/17/2017,382-45-8404,4/9/2018,,2/16/2017
6/15/2017,139-86-1125,5/6/2018,,9/29/2016
6/21/2017,320-10-6899,6/27/2018,,7/25/2017
3/5/2017,780-53-8215,11/14/2017,,6/9/2017
1/5/2017,328-03-5616,5/12/2018,,3/28/2017
1/4/2017,215-73-0296,8/4/2018,,6/19/2017
9/14/2016,579-42-6539,7/14/2018,,10/2/2016
1/13/2017,588-88-1655,2/4/2018,,12/5/2016
8/13/2017,320-63-5497,3/1/2018,,5/20/2017
6/13/2017,121-09-1821,8/1/2017,,10/13/2016
